,date,inflation
162,1981-08-01,7.36478711162256
163,1981-09-01,6.58342792281498
164,1981-10-01,5.736782902137226
165,1981-11-01,4.9217002237136525
166,1981-12-01,4.333333333333324
167,1982-01-01,4.7409040793825765
168,1982-02-01,4.70459518599562
169,1982-03-01,4.013015184381782
170,1982-04-01,4.099244875943902
171,1982-05-01,4.843918191603875
172,1982-06-01,5.172413793103446
173,1982-07-01,4.399141630901297
174,1982-08-01,3.613177470775777
175,1982-09-01,3.4920634920634894
176,1982-10-01,3.4846884899683177
177,1982-11-01,3.386243386243374
178,1982-12-01,3.1779661016949152
179,1983-01-01,2.6427061310782243
180,1983-02-01,2.089864158829676
181,1983-03-01,2.7979274611398846
182,1983-04-01,3.008298755186713
183,1983-05-01,2.4819027921406467
184,1983-06-01,1.644398766700919
185,1983-07-01,1.42857142857142
186,1983-08-01,1.8329938900203637
187,1983-09-01,1.8386108273748691
188,1983-10-01,2.1428571428571517
189,1983-11-01,2.24948875255624
190,1983-12-01,2.6639344262295173
191,1984-01-01,3.893442622950817
192,1984-02-01,4.480651731160902
193,1984-03-01,3.85786802030458
194,1984-04-01,3.4308779011099957
195,1984-05-01,3.0120481927710845
196,1984-06-01,3.3099297893681157
197,1984-07-01,3.714859437751007
198,1984-08-01,4.216867469879522
199,1984-09-01,3.911735205616856
200,1984-10-01,3.8076152304609194
201,1984-11-01,3.8038038038038007
202,1984-12-01,3.8076152304609194
203,1985-01-01,2.6946107784431166
204,1985-02-01,2.450980392156863
205,1985-03-01,2.526724975704562
206,1985-04-01,2.4295432458697763
207,1985-05-01,2.5242718446601886
208,1985-06-01,2.43427458617332
209,1985-07-01,2.137998056365406
210,1985-08-01,1.6456921587608797
211,1985-09-01,1.9249278152069296
212,1985-10-01,2.0250723240115662
213,1985-11-01,2.5072324011571925
214,1985-12-01,2.799227799227805
215,1986-01-01,2.8846153846153846
216,1986-02-01,2.10124164278891
217,1986-03-01,2.087286527514234
218,1986-04-01,2.274881516587683
219,1986-05-01,2.7488151658767825
220,1986-06-01,2.7540360873694127
221,1986-07-01,3.5104364326375737
222,1986-08-01,4.170616113744082
223,1986-09-01,4.261363636363637
224,1986-10-01,4.351939451277207
225,1986-11-01,4.253308128544424
226,1986-12-01,3.766478342749529
227,1987-01-01,4.115996258185212
228,1987-02-01,4.549675023212632
229,1987-03-01,4.460966542750927
230,1987-04-01,4.54967502321262
231,1987-05-01,4.7265987025023115
232,1987-06-01,5.0831792975970425
233,1987-07-01,4.1551246537396125
234,1987-08-01,3.4798534798534773
235,1987-09-01,3.6363636363636362
236,1987-10-01,3.5390199637023514
237,1987-11-01,3.260869565217386
238,1987-12-01,3.5230352303522956
239,1988-01-01,3.2461677186654723
240,1988-02-01,2.94380017841213
241,1988-03-01,3.111111111111111
242,1988-04-01,3.466666666666672
243,1988-05-01,3.368794326241132
